,Ano de referência do Coleta,Grande área do conhecimento do programa de pós-graduação,Área de conhecimento do programa de pós-graduação,Área básica do conhecimento do programa de pós-graduação,Subárea do conhecimento do programa de pós-graduação,Especialidade do conhecimento programa de pós-graduação,Código identificador da área de avaliação do programa de pós-graduação,Área de avaliação do programa de pós-graduação,Código da Instituição de Ensino Superior na CAPES,Código e-Mec da Instituição de Ensino Superior,Sigla da Instituição de Ensino Superior do programa de pós-graduação,Instituição de Ensino Superior do programa de pós-graduação,Indicador de programa de pós-graduação em rede,"Siglas das Instituições que compõem o programa em rede, quando for o caso",Status Jurídico da Instituição de Ensino Superior,Dependência administrativa da Instituição de Ensino Superior,Organização acadêmica da Instituição de Ensino Superior,Grande Região onde está localizado o programa,Sigla da Unidade da Federação do programa,Município sede do programa de pós-graduação,Modalidade do programa de pós-graduação,Código do programa de pós-graduação,Nome do programa de pós-graduação,Nome do programa de pós-graduação em inglês,Nível do programa de pós-graduação,Nota/Conceito do programa de pós-graduação,Ano de início do programa de pós-graduação,Ano de início de cada curso que compõe o programa,Situação do programa no ano de referência
93,2021,CIÊNCIAS DA SAÚDE,MEDICINA,HEMATOLOGIA,CLÍNICA MÉDICA,HEMATOLOGIA,16,MEDICINA II,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12008010008P3,HEMATOLOGIA,POS GRADUATE IN APPLIED HEMATOLOGY SCIENCES,MESTRADO,3,2013,2013,EM FUNCIONAMENTO
13,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018004P4,DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE,POSGRADUAT PROGRAM IN REGIONAL DEVELOPMENT AND ENVIRONMENT,MESTRADO/DOUTORADO,4,1999,1999/2013,EM FUNCIONAMENTO
83,2021,CIÊNCIAS BIOLÓGICAS,ZOOLOGIA,ZOOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,12002011,NI,INPA,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,12002011004P6,CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA),POSGRADUATE PROGRAMA IN ENTOMOLOGY,MESTRADO/DOUTORADO,5,1976,1976/1976,EM FUNCIONAMENTO
293,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,ENGENHARIA/TECNOLOGIA/GESTÃO,ENGENHARIA/TECNOLOGIA/GESTÃO,NÃO SE APLICA,45,INTERDISCIPLINAR,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,PROFISSIONAL,16003012014P9,MODELAGEM COMPUTACIONAL DE SISTEMAS,POST GRADUATE PROGRAM IN COMPUTATIONAL MODELING OF SYSTEMS,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,4,2012,2012,EM FUNCIONAMENTO
219,2021,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM,NÃO SE APLICA,NÃO SE APLICA,20,ENFERMAGEM,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016066P3,ENFERMAGEM,POST GRADUATE PROGRAM IN NURSING,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
48,2021,CIÊNCIAS SOCIAIS APLICADAS,SERVIÇO SOCIAL,SERVIÇO SOCIAL,NÃO SE APLICA,NÃO SE APLICA,32,SERVIÇO SOCIAL,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015027P0,SERVIÇO SOCIAL,POST GRADUATE PROGRAM IN SOCIAL WORK AND SUSTAINABILITY IN AMAZONIA,MESTRADO,3,2007,2007,EM FUNCIONAMENTO
144,2021,CIÊNCIAS SOCIAIS APLICADAS,ARQUITETURA E URBANISMO,ARQUITETURA E URBANISMO,NÃO SE APLICA,NÃO SE APLICA,29,"ARQUITETURA, URBANISMO E DESIGN",15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016063P4,ARQUITETURA E URBANISMO,POST GRADUATE PROGRAM ON ARCHITECTURE AND URBANISM,MESTRADO/DOUTORADO,4,2010,2010/2019,EM FUNCIONAMENTO
325,2021,CIÊNCIAS SOCIAIS APLICADAS,SERVIÇO SOCIAL,SERVIÇO SOCIAL,NÃO SE APLICA,NÃO SE APLICA,32,SERVIÇO SOCIAL,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010003P6,POLÍTICAS PÚBLICAS,POST GRADUATE PROGRAMME IN PUBLIC POLITICS,MESTRADO/DOUTORADO,6,1993,1993/2001,EM FUNCIONAMENTO
225,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,15002012,590,UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15002012001P5,AGRONOMIA,POST GRADUATION IN AGRONOMIA,MESTRADO/DOUTORADO,5,1995,1995/2011,EM FUNCIONAMENTO
126,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,ACADÊMICO,14001012161P3,GEOGRAFIA,POST GRADUATION IN GEOGRAPHY,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
136,2021,ENGENHARIAS,ENGENHARIA NAVAL E OCEÂNICA,ENGENHARIA NAVAL E OCEÂNICA,NÃO SE APLICA,NÃO SE APLICA,13,ENGENHARIAS III,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016085P8,ENGENHARIA NAVAL,POST GRADUATION NAVAL ENGINEERING PROGRAM,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
335,2021,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,NÃO SE APLICA,NÃO SE APLICA,5,GEOCIÊNCIAS,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010042P1,CIÊNCIA E TECNOLOGIA AMBIENTAL,POST GRADUATION PROGRAM IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
399,2021,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM,NÃO SE APLICA,NÃO SE APLICA,20,ENFERMAGEM,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014012P8,ENFERMAGEM,POST GRADUATION PROGRAM IN NURSING OF THE FEDERAL UNIVERSITY OF PIAUÍ,MESTRADO/DOUTORADO,4,2007,2007/2014,EM FUNCIONAMENTO
357,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,PROFISSIONAL,20002017042P8,EDUCAÇÃO,POST-GRADUATE IN EDUCATION PROGRAM,MESTRADO PROFISSIONAL,A,2019,2019,EM FUNCIONAMENTO
82,2021,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,NÃO SE APLICA,NÃO SE APLICA,5,GEOCIÊNCIAS,12002011,NI,INPA,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,SIM,UEA,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,12002011011P2,CLIMA E AMBIENTE - INPA - UEA,POST-GRADUATE PROGRAM IN CLIMATE AND ENVIRONMENT - INPA -UEA,MESTRADO/DOUTORADO,4,2007,2007/2007,EM FUNCIONAMENTO
346,2021,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,NÃO SE APLICA,NÃO SE APLICA,2,CIÊNCIA DA COMPUTAÇÃO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,POST-GRADUATE PROGRAM IN COMPUTER SCIENCE,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
309,2021,ENGENHARIAS,ENGENHARIA ELÉTRICA,ENGENHARIA ELÉTRICA,NÃO SE APLICA,NÃO SE APLICA,14,ENGENHARIAS IV,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010005P9,ENGENHARIA ELÉTRICA,POST-GRADUATE PROGRAM IN ELECTRICAL ENGINEERING,MESTRADO/DOUTORADO,4,1995,1995/2009,EM FUNCIONAMENTO
380,2021,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014083P2,DIREITO,POST-GRADUATE PROGRAM IN LAW (ACADEMIC MASTER),MESTRADO,A,2019,2019,EM FUNCIONAMENTO
391,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014008P0,LETRAS,POST-GRADUATE PROGRAM IN LETTERS,MESTRADO/DOUTORADO,4,2003,2003/2019,EM FUNCIONAMENTO
52,2021,MULTIDISCIPLINAR,MATERIAIS,MATERIAIS,NÃO SE APLICA,NÃO SE APLICA,47,MATERIAIS,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015035P2,CIÊNCIA E ENGENHARIA DE MATERIAIS,POST-GRADUATE PROGRAM IN MATERIALS SCIENCE AND ENGINEERING,MESTRADO,3,2009,2009,EM FUNCIONAMENTO
100,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019005P9,LETRAS,POST-GRADUATION IN LANGUAGE,MESTRADO,3,2010,2010,EM FUNCIONAMENTO
23,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011076P8,GEOGRAFIA,POSTGRADUATE PROGRAM - MASTER IN GEOGRAPHY,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
194,2021,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016068P6,BIOTECNOLOGIA,POSTGRADUATE PROGRAM IN BIOTECHNOLOGY,MESTRADO/DOUTORADO,5,2011,2011/2011,EM FUNCIONAMENTO
387,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014009P7,HISTÓRIA,POSTGRADUATE PROGRAM IN BRAZIL HISTORY,MESTRADO/DOUTORADO,4,2004,2004/2019,EM FUNCIONAMENTO
388,2021,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014003P9,QUÍMICA,POSTGRADUATE PROGRAM IN CHEMISTRY,MESTRADO/DOUTORADO,4,1999,1999/2015,EM FUNCIONAMENTO
50,2021,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015002P7,QUÍMICA,POSTGRADUATE PROGRAM IN CHEMISTRY,MESTRADO/DOUTORADO,4,1987,1987/2007,EM FUNCIONAMENTO
105,2021,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,COMUNICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,31,COMUNICAÇÃO E INFORMAÇÃO,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019040P9,COMUNICAÇÃO,POSTGRADUATE PROGRAM IN COMMUNICATION,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
307,2021,CIÊNCIAS SOCIAIS APLICADAS,DESENHO INDUSTRIAL,DESENHO INDUSTRIAL,NÃO SE APLICA,NÃO SE APLICA,29,"ARQUITETURA, URBANISMO E DESIGN",20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010028P9,DESIGN,POSTGRADUATE PROGRAM IN DESIGN,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
158,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016035P0,EDUCAÇÃO,POSTGRADUATE PROGRAM IN EDUCATION,MESTRADO/DOUTORADO,5,2003,2003/2008,EM FUNCIONAMENTO
124,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,ACADÊMICO,14001012157P6,EDUCAÇÃO,POSTGRADUATE PROGRAM IN EDUCATION,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
288,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PORTO NACIONAL,ACADÊMICO,16003012009P5,GEOGRAFIA,POSTGRADUATE PROGRAM IN GEOGRAPHY,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
27,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,CRUZEIRO DO SUL,ACADÊMICO,11001011073P9,ENSINO DE HUMANIDADES E LINGUAGENS,POSTGRADUATE PROGRAM IN HUMANITIES AND LANGUAGENS TEACHING,MESTRADO,A,2018,2018,EM FUNCIONAMENTO
237,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,SIM,UNIFESSPA;UFPA;UFOPA,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15006018009P1,EDUCAÇÃO ESCOLAR INDÍGENA,POSTGRADUATE PROGRAM IN INDIGENOUS SCHOOL EDUCATION,MESTRADO PROFISSIONAL,A,2018,2018,EM FUNCIONAMENTO
361,2021,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,ENGENHARIA DE MATERIAIS E METALÚRGICA,NÃO SE APLICA,NÃO SE APLICA,12,ENGENHARIAS II,20003013,NI,IFMA - MC,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO MARANHÃO - MONTE CASTELO,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20003013001P6,ENGENHARIA DE MATERIAIS,POSTGRADUATE PROGRAM IN MATERIALS ENGINEERING,MESTRADO,3,2005,2005,EM FUNCIONAMENTO
321,2021,CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA,MATEMÁTICA,NÃO SE APLICA,NÃO SE APLICA,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010019P0,MATEMATICA,POSTGRADUATE PROGRAM IN MATHEMATICS,MESTRADO,3,2010,2010,EM FUNCIONAMENTO
172,2021,CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA,MATEMÁTICA,NÃO SE APLICA,NÃO SE APLICA,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016041P0,MATEMÁTICA E ESTATÍSTICA,POSTGRADUATE PROGRAM IN MATHEMATICS AND STATISTICS,MESTRADO,4,2004,2004,EM FUNCIONAMENTO
129,2021,CIÊNCIAS DA SAÚDE,FARMÁCIA,FARMÁCIA,NÃO SE APLICA,NÃO SE APLICA,19,FARMÁCIA,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,ACADÊMICO,14001012005P1,CIÊNCIAS FARMACÊUTICAS,POSTGRADUATE PROGRAM IN PHARMACEUTICAL SCIENCES,MESTRADO,3,2013,2013,EM FUNCIONAMENTO
327,2021,CIÊNCIAS HUMANAS,FILOSOFIA,FILOSOFIA,NÃO SE APLICA,NÃO SE APLICA,33,FILOSOFIA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010056P2,FILOSOFIA,POSTGRADUATE PROGRAM IN PHILOSOPHY,MESTRADO,A,2021,2021,EM FUNCIONAMENTO
89,2021,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM DE SAÚDE PÚBLICA,ENFERMAGEM DE SAÚDE PÚBLICA,NÃO SE APLICA,20,ENFERMAGEM,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,PROFISSIONAL,12008010072P3,ENFERMAGEM EM SAÚDE PÚBLICA,POSTGRADUATE PROGRAM IN PUBLIC HEALTH NURSING,MESTRADO PROFISSIONAL,A,2018,2018,EM FUNCIONAMENTO
278,2021,CIÊNCIAS SOCIAIS APLICADAS,PLANEJAMENTO URBANO E REGIONAL,PLANEJAMENTO URBANO E REGIONAL,NÃO SE APLICA,NÃO SE APLICA,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,ACADÊMICO,16003012004P3,DESENVOLVIMENTO REGIONAL,POSTGRADUATE PROGRAM IN REGIONAL DEVELOPMENT,MESTRADO/DOUTORADO,4,2007,2007/2016,EM FUNCIONAMENTO
236,2021,CIÊNCIAS HUMANAS,TEOLOGIA,TEOLOGIA,NÃO SE APLICA,NÃO SE APLICA,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15006018004P0,CIÊNCIAS DA RELIGIÃO,POSTGRADUATE PROGRAM IN RELIGION SCIENCE,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
183,2021,ENGENHARIAS,ENGENHARIA SANITÁRIA,ENGENHARIA SANITÁRIA,NÃO SE APLICA,NÃO SE APLICA,10,ENGENHARIAS I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016163P9,ENGENHARIA SANITÁRIA E AMBIENTAL - PPGESA,POSTGRADUATE PROGRAM IN SANITARY AND ENVIRONMENTAL ENGINEERING,MESTRADO PROFISSIONAL,A,2020,2020,EM FUNCIONAMENTO
352,2021,CIÊNCIAS HUMANAS,ANTROPOLOGIA,ANTROPOLOGIA,NÃO SE APLICA,NÃO SE APLICA,35,ANTROPOLOGIA / ARQUEOLOGIA,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20002017007P8,CARTOGRAFIA SOCIAL E POLÍTICA DA AMAZÔNIA,POSTGRADUATE PROGRAM IN SOCIAL CARTOGRAPHY AND POLITICS OF THE AMAZON,MESTRADO,3,2013,2013,EM FUNCIONAMENTO
272,2021,CIÊNCIAS HUMANAS,ANTROPOLOGIA,ANTROPOLOGIA,NÃO SE APLICA,NÃO SE APLICA,35,ANTROPOLOGIA / ARQUEOLOGIA,15027007,NI,MPEG,MUSEU PARAENSE EMÍLIO GOELDI,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,PA,BELÉM,ACADÊMICO,15027007040P0,DIVERSIDADE SOCIOCULTURAL,POSTGRADUATE PROGRAM IN SOCIOCULTURAL DIVERSITY,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
128,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,SIM,EMBRAPA-MATRIZ,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,ACADÊMICO,14001012003P9,BIODIVERSIDADE TROPICAL,POSTGRADUATE PROGRAM IN TROPICAL BIODIVERSITY,MESTRADO/DOUTORADO,4,2006,2006/2006,EM FUNCIONAMENTO
397,2021,CIÊNCIAS HUMANAS,ANTROPOLOGIA,ANTROPOLOGIA,NÃO SE APLICA,NÃO SE APLICA,35,ANTROPOLOGIA / ARQUEOLOGIA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014017P0,ANTROPOLOGIA,POSTGRADUATE PROGRAM OF ANTHROPOLOGY,MESTRADO,3,2009,2009,EM FUNCIONAMENTO
297,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,PROFISSIONAL,16003012174P6,HISTÓRIA DAS POPULAÇÕES AMAZÔNICAS,PPGHISPAM,MESTRADO PROFISSIONAL,A,2019,2019,EM FUNCIONAMENTO
51,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015037P5,LETRAS,PPGL,MESTRADO,3,2010,2010,EM FUNCIONAMENTO
45,2021,ENGENHARIAS,ENGENHARIA DE PRODUÇÃO,ENGENHARIA DE PRODUÇÃO,NÃO SE APLICA,NÃO SE APLICA,13,ENGENHARIAS III,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,PROFISSIONAL,12001015009P1,ENGENHARIA DE PRODUÇÃO,PRODUCTION MANAGEMENT,MESTRADO PROFISSIONAL,3,1999,1999,EM FUNCIONAMENTO
